date,real_high,real_low,pred_high,pred_low
2020-07-01,17.27,16.9,17.761335372924805,17.437213897705078
2020-07-02,17.95,17.16,17.722261428833008,17.4049015045166
2020-07-03,18.72,18.02,17.93222999572754,17.578214645385742
2020-07-06,19.85,18.89,18.479904174804688,18.02875518798828
2020-07-07,20.44,19.18,19.056102752685547,18.496013641357422
2020-07-08,19.35,18.84,19.1709041595459,18.59316635131836
2020-07-09,19.64,19.16,19.209840774536133,18.6226749420166
2020-07-10,19.31,18.88,19.38056755065918,18.755998611450195
2020-07-13,19.4,18.88,19.238428115844727,18.642742156982422
2020-07-14,21.16,18.69,19.436601638793945,18.797964096069336
2020-07-15,19.99,19.18,19.978347778320312,19.20901870727539
2020-07-16,19.55,18.47,19.63672637939453,18.95877456665039
2020-07-17,18.75,18.32,19.240497589111328,18.6441650390625
2020-07-20,19.16,18.43,19.113048553466797,18.544044494628906
2020-07-21,19.27,18.88,19.29678726196289,18.686670303344727
2020-07-22,19.27,18.9,19.274450302124023,18.669313430786133
2020-07-23,19.13,18.35,19.268030166625977,18.665603637695312
2020-07-24,18.74,17.91,19.02225112915039,18.470661163330078
2020-07-27,18.25,17.81,18.56218719482422,18.097412109375
2020-07-28,18.32,17.98,18.433565139770508,17.991830825805664
2020-07-29,18.39,17.78,18.21514892578125,17.811784744262695
2020-07-30,18.72,18.1,18.37109375,17.940351486206055
2020-07-31,18.39,18.0,18.286365509033203,17.87047004699707
2020-08-03,18.49,18.26,18.348705291748047,17.921926498413086
2020-08-04,18.5,18.25,18.439289093017578,17.99660873413086
2020-08-05,18.4,18.1,18.46927261352539,18.02130126953125
2020-08-06,18.36,18.02,18.372791290283203,17.941741943359375
2020-08-07,18.38,18.02,18.404441833496094,17.96787452697754
2020-08-10,18.36,18.01,18.29082679748535,17.874189376831055
2020-08-11,18.7,18.28,18.373300552368164,17.942211151123047
2020-08-12,18.51,18.03,18.407556533813477,17.97043228149414
2020-08-13,18.48,18.26,18.421781539916992,17.982168197631836
2020-08-14,18.46,18.23,18.467304229736328,18.019704818725586
2020-08-17,19.0,18.43,18.496416091918945,18.04368019104004
2020-08-18,18.99,18.63,18.802324295043945,18.29488754272461
2020-08-19,18.76,18.4,18.841583251953125,18.327165603637695
2020-08-20,18.35,18.13,18.712078094482422,18.220970153808594
2020-08-21,18.38,18.18,18.540939331054688,18.0802001953125
2020-08-24,18.84,18.34,18.511028289794922,18.055580139160156
2020-08-25,18.88,18.54,18.741779327392578,18.245044708251953
2020-08-26,18.6,18.2,18.841228485107422,18.326576232910156
2020-08-27,19.21,18.5,18.66415786743164,18.181516647338867
2020-08-28,19.58,18.64,19.122943878173828,18.55284881591797
2020-08-31,19.19,18.66,19.015464782714844,18.467117309570312
2020-09-01,19.03,18.52,19.002382278442383,18.457698822021484
2020-09-02,19.12,18.81,19.089147567749023,18.52748680114746
2020-09-03,19.55,18.92,19.052087783813477,18.497371673583984
2020-09-04,19.4,18.71,19.27956199645996,18.67852210998535
2020-09-07,19.75,19.26,19.285390853881836,18.683544158935547
2020-09-08,20.12,19.35,19.4652042388916,18.827699661254883
2020-09-09,19.98,19.12,19.895410537719727,19.164487838745117
2020-09-10,19.46,19.0,19.511192321777344,18.860719680786133
2020-09-11,19.24,18.8,19.378265380859375,18.753374099731445
2020-09-14,19.44,18.99,19.292409896850586,18.686477661132812
2020-09-15,19.8,19.26,19.58734893798828,18.91971206665039
2020-09-16,20.22,19.49,19.722244262695312,19.028528213500977
2020-09-17,20.57,19.83,19.90953254699707,19.182165145874023
2020-09-18,20.35,19.87,20.17389488220215,19.3946533203125
2020-09-21,20.6,20.06,20.14801788330078,19.38054084777832
2020-09-22,20.15,19.67,20.13547134399414,19.371803283691406
2020-09-23,20.06,19.7,19.957088470458984,19.222230911254883
2020-09-24,19.7,19.18,19.923385620117188,19.197376251220703
2020-09-25,19.46,19.11,19.591440200805664,18.921855926513672
2020-09-28,19.44,19.17,19.496959686279297,18.848154067993164
2020-09-29,19.41,19.08,19.529125213623047,18.875967025756836
2020-09-30,19.33,19.01,19.431440353393555,18.797351837158203
2020-10-09,20.02,19.35,19.3934326171875,18.767534255981445
2020-10-12,20.2,19.89,19.84283447265625,19.11959457397461
2020-10-13,20.85,19.9,20.09064292907715,19.32147216796875
2020-10-14,20.58,20.19,20.41600799560547,19.583227157592773
2020-10-15,20.95,20.45,20.319000244140625,19.516460418701172
2020-10-16,20.66,20.23,20.370248794555664,19.561185836791992
2020-10-19,20.82,20.21,20.426959991455078,19.609052658081055
2020-10-20,21.18,20.3,20.398155212402344,19.58529281616211
2020-10-21,21.6,20.85,20.691856384277344,19.821056365966797
2020-10-22,21.46,20.85,20.88826560974121,19.982505798339844
2020-10-23,21.7,21.02,20.85258674621582,19.960981369018555
2020-10-26,21.51,20.9,20.9721736907959,20.06031608581543
2020-10-27,21.48,21.01,21.057435989379883,20.130069732666016
2020-10-28,21.92,21.12,21.070960998535156,20.142066955566406
2020-10-29,23.21,21.36,21.429615020751953,20.426359176635742
2020-10-30,24.02,22.7,22.120189666748047,20.948345184326172
2020-11-02,24.68,23.05,22.416505813598633,21.185537338256836
